code;name;descr
AU;Australia;Commonwealth of Australia
BR;Brazil;Federative Republic of Brazil
CA;Canada;Canada
CN;China;People's Republic of China (PRC)
DE;Germany;Federal Republic of Germany
EU;European Union;European Union
FR;France;French Republic
GB;United Kingdom;United Kingdom of Great Britain and Northern Ireland
IL;Israel;State of Israel
IN;India;Republic of India
MM;Myanmar;Republic of the Union of Myanmar
MX;Mexico;United Mexican States
US;United States;United States of America (USA)