code;locale;name;descr
AUD;de;Australischer Dollar;Australischer Dollar
CAD;de;Kanadischer Dollar;Kanadischer Dollar
EUR;de;Euro;European Euro
GBP;de;Pfund;Britische Pfund
ILS;de;Schekel;Israelische Schekel
JPY;de;Yen;Japanische Yen
USD;de;US-Dollar;United States Dollar
AUD;fr;dollar australien;dollar australien
CAD;fr;dollar canadien;dollar canadien
EUR;fr;euro;de la Zone euro
GBP;fr;livre sterling;pound sterling
ILS;fr;Shekel;shekel israelien
JPY;fr;Yen;Yen japonais
USD;fr;dollar;dollar des Ã‰tats-Unis